year,selling_price,km_driven,fuel,seller_type,owner,mileage,engine,max_power,torque,seats,transmission_Automatic,transmission_Manual
2013,625000,8.0,3,0,0,14.0,1798.0,138.0,173.0,5.0,True,False
2018,3400000,4.0,1,0,0,18.0,1969.0,190.0,400.0,5.0,True,False
2015,535000,8.0,1,0,0,26.0,1248.0,88.0,200.0,5.0,False,True
2010,975000,15.0,3,0,2,10.0,2497.0,150.0,250.0,5.0,True,False
2016,805000,10.0,3,0,0,16.0,1797.0,147.0,177.0,5.0,False,True
2017,2625000,1.0,1,0,0,13.0,1999.0,177.0,430.0,5.0,True,False
2018,811000,2.0,3,0,0,17.0,1198.0,108.0,170.0,5.0,False,True
2011,375000,10.0,3,1,0,15.0,1598.0,103.0,153.0,5.0,False,True
2012,550000,20.0,3,1,0,16.0,1797.0,147.0,177.0,5.0,False,True
2016,645000,2.0,3,0,0,14.0,1598.0,103.0,153.0,5.0,True,False
2018,2550000,3.0,3,0,0,15.0,1991.0,183.0,300.0,5.0,True,False
2014,599000,9.0,3,0,0,16.0,1373.0,93.0,130.0,7.0,False,True
2017,2700000,3.0,3,0,0,14.0,1991.0,181.0,300.0,5.0,True,False
2017,875000,3.0,3,0,0,15.0,1497.0,116.0,146.0,5.0,True,False
2019,894999,2.0,3,0,0,19.0,1197.0,81.0,113.0,5.0,True,False
2011,175000,2.0,3,0,0,23.0,998.0,67.0,90.0,5.0,False,True
2012,340000,5.0,3,0,0,21.0,1197.0,81.0,113.0,5.0,False,True
2016,1525000,8.0,1,0,2,11.0,2755.0,171.0,360.0,7.0,True,False
2018,1025000,1.0,1,0,0,21.0,1497.0,108.0,260.0,5.0,True,False
2016,2150000,6.0,1,0,0,22.0,1995.0,190.0,400.0,5.0,True,False
2016,1900000,8.0,3,0,0,19.0,2494.0,157.0,213.0,5.0,True,False
2016,2900000,2.0,1,0,0,18.0,1995.0,190.0,400.0,5.0,True,False
2009,450000,15.0,3,0,0,12.0,2362.0,164.0,224.0,5.0,True,False
2016,850000,4.0,3,1,0,17.0,1373.0,91.0,130.0,7.0,False,True
2011,300000,21.0,1,1,2,20.0,1598.0,103.0,250.0,5.0,False,True
2018,575000,2.0,3,1,0,18.0,1196.0,86.0,112.0,5.0,False,True
2011,160000,25.0,1,1,0,20.0,1399.0,68.0,160.0,5.0,False,True
2015,515000,7.0,3,1,0,20.0,1197.0,81.0,113.0,5.0,False,True
2015,390000,10.0,3,1,2,20.0,998.0,67.0,90.0,5.0,True,False
2016,550000,2.0,3,1,2,18.0,1197.0,81.0,114.0,5.0,False,True
1999,40000,8.0,3,1,2,16.0,796.0,37.0,59.0,4.0,False,True
2010,220000,25.0,1,1,0,21.0,1248.0,73.0,113.0,5.0,False,True
2015,425000,14.0,3,1,0,18.0,1197.0,82.0,114.0,5.0,False,True
2019,480000,2.0,3,1,0,19.0,999.0,75.0,95.0,5.0,False,True
2014,400000,12.0,3,1,2,18.0,1197.0,82.0,114.0,5.0,False,True
2014,487000,7.0,3,1,0,19.0,1197.0,85.0,114.0,5.0,False,True
2016,386000,9.0,3,1,2,19.0,1197.0,82.0,114.0,5.0,False,True
2005,100000,25.0,3,1,2,13.0,1493.0,100.0,13.0,5.0,False,True
2010,300000,12.0,1,1,0,21.0,1364.0,87.0,205.0,5.0,False,True
2000,100000,12.0,3,1,0,18.0,796.0,53.0,71.0,5.0,False,True
2014,1750000,6.0,1,1,2,13.0,2982.0,168.0,343.0,7.0,False,True
2016,450000,3.0,3,1,2,18.0,1198.0,82.0,115.0,6.0,False,True
2017,490000,19.0,1,1,0,22.0,1248.0,74.0,190.0,5.0,False,True
2009,345000,9.0,3,1,2,17.0,1497.0,118.0,146.0,5.0,False,True
2005,85000,19.0,3,1,0,17.0,993.0,60.0,78.0,5.0,False,True
2010,215000,25.0,3,1,2,18.0,998.0,67.0,90.0,5.0,False,True
2010,320000,21.0,3,1,4,16.0,1599.0,103.0,14.0,5.0,False,True
2016,459999,12.0,3,1,2,20.0,1197.0,83.0,115.0,5.0,False,True
2005,65000,18.0,3,1,0,15.0,1341.0,83.0,115.0,5.0,False,True
2020,720000,1.0,3,1,0,18.0,1197.0,81.0,117.0,5.0,False,True
2017,800000,7.0,1,1,0,28.0,1248.0,88.0,200.0,5.0,False,True
2019,520000,2.0,3,1,0,20.0,1199.0,84.0,114.0,5.0,False,True
2015,580000,14.0,1,1,0,20.0,1248.0,88.0,200.0,7.0,False,True
2012,235000,25.0,1,1,0,18.0,1248.0,88.0,200.0,5.0,False,True
2015,600000,10.0,3,1,0,17.0,1497.0,117.0,145.0,5.0,False,True
2014,290000,12.0,3,1,2,19.0,1198.0,86.0,109.0,5.0,False,True
2016,360000,10.0,0,1,0,26.0,998.0,58.0,77.0,5.0,False,True
2017,550000,10.0,3,1,0,20.0,1197.0,83.0,115.0,5.0,False,True
2013,375000,14.0,3,1,0,18.0,1197.0,82.0,113.0,5.0,False,True
2003,40000,19.0,3,1,2,18.0,1248.0,88.0,200.0,5.0,False,True
2018,420000,7.0,3,1,0,20.0,998.0,67.0,90.0,5.0,True,False
2017,550000,4.0,3,1,0,21.0,1197.0,81.0,113.0,5.0,False,True
2018,270000,4.0,3,1,0,24.0,796.0,47.0,69.0,5.0,False,True
2018,700000,1.0,3,1,0,22.0,1197.0,81.0,113.0,5.0,True,False
2017,500000,4.0,3,1,0,20.0,1197.0,81.0,113.0,5.0,False,True
2019,1250000,3.0,1,1,0,17.0,2179.0,147.0,320.0,7.0,False,True
2013,320000,6.0,3,1,2,18.0,1197.0,82.0,113.0,5.0,False,True
2018,700000,10.0,1,1,0,28.0,1248.0,74.0,190.0,5.0,False,True
2015,290000,12.0,3,1,0,20.0,998.0,67.0,90.0,5.0,False,True
2012,550000,21.0,3,1,0,14.0,1794.0,138.0,173.0,5.0,True,False
2012,265000,12.0,3,1,0,19.0,1198.0,86.0,109.0,5.0,False,True
2018,830000,1.0,3,1,0,21.0,1197.0,83.0,115.0,5.0,True,False
2017,800000,12.0,1,1,0,14.0,2179.0,147.0,320.0,7.0,False,True
2011,160000,5.0,3,1,2,19.0,796.0,46.0,62.0,5.0,False,True
2018,335000,6.0,3,1,0,25.0,799.0,53.0,72.0,5.0,False,True
2017,329000,16.0,3,1,2,20.0,1198.0,67.0,104.0,5.0,False,True
2017,775000,15.0,1,1,0,24.0,1248.0,88.0,200.0,5.0,False,True
2020,524000,6.0,3,1,0,20.0,1197.0,81.0,113.0,5.0,False,True
2015,245000,8.0,3,1,0,22.0,796.0,47.0,69.0,5.0,False,True
2012,275000,19.0,3,1,2,17.0,1197.0,80.0,11.0,5.0,False,True
2018,520000,12.0,3,1,0,17.0,1193.0,88.0,140.0,5.0,False,True
2008,130000,25.0,3,1,2,18.0,1248.0,88.0,200.0,5.0,False,True
2014,550000,7.0,3,1,0,16.0,1498.0,97.0,134.0,5.0,False,True
2018,910000,3.0,3,1,0,17.0,1497.0,121.0,150.0,5.0,False,True
2015,300000,16.0,3,1,0,19.0,1198.0,67.0,104.0,5.0,False,True
2016,350000,29.0,3,1,0,20.0,998.0,67.0,90.0,5.0,False,True
2013,900000,14.0,1,1,0,12.0,2696.0,162.0,340.0,7.0,False,True
2013,300000,25.0,1,1,2,17.0,1493.0,100.0,240.0,7.0,False,True
2010,250000,23.0,1,1,2,21.0,1248.0,73.0,190.0,5.0,False,True
2017,1100000,7.0,1,1,0,19.0,1582.0,126.0,259.0,5.0,False,True
2016,270000,9.0,3,1,0,25.0,799.0,53.0,72.0,5.0,False,True
2015,640000,16.0,1,1,0,20.0,1248.0,88.0,200.0,7.0,False,True
2015,650000,26.0,1,1,0,15.0,2179.0,140.0,330.0,7.0,False,True
2017,409999,2.0,3,1,0,15.0,1196.0,73.0,101.0,5.0,False,True
2011,165000,15.0,3,1,0,17.0,1086.0,62.0,96.0,5.0,False,True
2007,80000,25.0,3,1,2,13.0,1495.0,94.0,12.0,5.0,False,True
2012,535000,25.0,1,1,0,15.0,2179.0,140.0,330.0,7.0,False,True
2013,700000,14.0,1,1,0,12.0,2494.0,100.0,200.0,7.0,False,True
2013,550000,14.0,1,1,0,23.0,1248.0,74.0,190.0,5.0,False,True
2019,680000,3.0,3,1,0,19.0,1199.0,88.0,110.0,5.0,True,False
2009,200000,11.0,3,1,2,20.0,1197.0,78.0,111.0,5.0,False,True
2014,500000,25.0,1,1,2,23.0,1248.0,74.0,190.0,5.0,False,True
2016,1000000,14.0,1,1,0,24.0,1248.0,88.0,200.0,7.0,False,True
2008,110000,25.0,3,1,2,14.0,1341.0,82.0,11.0,5.0,False,True
2012,320000,21.0,3,1,2,18.0,1197.0,80.0,11.0,5.0,False,True
2005,75000,23.0,1,1,2,18.0,1248.0,88.0,200.0,5.0,False,True
2015,350000,21.0,3,1,0,20.0,1197.0,83.0,113.0,5.0,False,True
2013,170000,34.0,1,1,0,19.0,1405.0,70.0,135.0,5.0,False,True
2017,800000,8.0,1,1,0,22.0,1396.0,88.0,219.0,5.0,False,True
2017,500000,15.0,1,1,0,26.0,1248.0,74.0,190.0,5.0,False,True
2017,1380000,10.0,1,1,0,17.0,2179.0,153.0,400.0,7.0,True,False
2019,1300000,8.0,1,1,0,17.0,1497.0,121.0,300.0,8.0,False,True
2013,530000,19.0,1,1,0,22.0,1582.0,126.0,259.0,5.0,False,True
2012,360000,33.0,1,1,0,23.0,1248.0,74.0,190.0,5.0,False,True
2012,310000,25.0,1,1,0,19.0,1248.0,73.0,190.0,5.0,False,True
2015,725000,10.0,1,1,2,26.0,1498.0,98.0,200.0,5.0,False,True
2012,340000,23.0,1,1,0,19.0,1248.0,73.0,190.0,5.0,False,True
2017,550000,0.0,1,1,2,25.0,1186.0,73.0,190.0,5.0,False,True
2011,1150000,38.0,1,1,2,11.0,2982.0,171.0,343.0,7.0,False,True
2016,380000,14.0,1,1,0,27.0,1047.0,69.0,140.0,5.0,False,True
2013,350000,19.0,3,1,2,17.0,1498.0,99.0,134.0,5.0,True,False
2019,610000,0.0,3,1,0,18.0,1197.0,81.0,117.0,5.0,False,True
2015,525000,4.0,3,1,0,20.0,1197.0,83.0,115.0,5.0,False,True
2011,480000,25.0,1,1,0,12.0,2494.0,102.0,20.0,7.0,False,True
2017,780000,7.0,1,1,0,16.0,2498.0,105.0,247.0,6.0,False,True
2012,320000,40.0,1,1,0,19.0,1248.0,73.0,190.0,5.0,False,True
2014,375000,16.0,3,1,0,20.0,1197.0,81.0,113.0,5.0,False,True
2019,300000,8.0,3,1,0,19.0,1198.0,67.0,104.0,5.0,False,True
2015,500000,14.0,1,1,1,22.0,1396.0,88.0,219.0,5.0,False,True
2011,404000,25.0,1,1,0,12.0,2179.0,120.0,290.0,9.0,False,True
2015,500000,15.0,1,1,0,14.0,2956.0,69.0,223.0,7.0,False,True
2017,350000,25.0,1,1,0,27.0,1047.0,69.0,140.0,5.0,False,True
2015,380000,8.0,3,1,0,17.0,1193.0,88.0,140.0,5.0,False,True
2008,114999,20.0,3,1,4,13.0,1495.0,94.0,12.0,5.0,False,True
2014,335000,6.0,3,0,0,19.0,1198.0,86.0,109.0,5.0,False,True
2015,465000,13.0,3,0,0,18.0,1197.0,82.0,114.0,5.0,True,False
2012,290000,12.0,1,1,0,21.0,1248.0,88.0,200.0,5.0,False,True
2005,110000,9.0,3,1,2,19.0,796.0,46.0,62.0,5.0,False,True
2011,450000,16.0,1,1,4,11.0,2179.0,138.0,320.0,7.0,False,True
2009,400000,36.0,1,1,2,13.0,2523.0,63.0,180.0,7.0,False,True
2007,210000,44.0,1,1,2,13.0,2523.0,63.0,180.0,7.0,False,True
2018,4600000,1.0,1,1,0,17.0,2143.0,170.0,400.0,5.0,True,False
2016,220000,7.0,3,1,0,16.0,796.0,34.0,59.0,8.0,False,True
2017,450000,7.0,3,1,0,18.0,1197.0,82.0,114.0,5.0,False,True
2013,290000,10.0,3,1,0,16.0,1197.0,78.0,111.0,5.0,True,False
2016,520000,4.0,3,1,0,20.0,1197.0,81.0,113.0,5.0,False,True
2011,265000,4.0,3,1,0,16.0,1197.0,78.0,111.0,5.0,True,False
2012,330000,10.0,3,1,2,18.0,1197.0,85.0,114.0,5.0,False,True
2014,509999,25.0,1,1,0,15.0,2523.0,62.0,195.0,7.0,False,True
2014,500000,14.0,3,1,0,17.0,1591.0,121.0,154.0,5.0,False,True
2015,525000,10.0,3,1,0,17.0,1197.0,81.0,114.0,5.0,False,True
2019,675000,3.0,3,1,0,21.0,1197.0,81.0,113.0,5.0,False,True
2010,300000,14.0,3,1,0,17.0,1197.0,80.0,11.0,5.0,False,True
2005,90000,21.0,3,1,2,19.0,796.0,46.0,62.0,5.0,False,True
2017,650000,5.0,1,1,0,26.0,1248.0,74.0,190.0,5.0,False,True
2014,409000,14.0,3,1,2,19.0,1197.0,85.0,114.0,5.0,False,True
2015,395000,16.0,1,1,2,24.0,1120.0,70.0,160.0,5.0,False,True
2010,215000,14.0,3,1,2,18.0,1248.0,88.0,200.0,5.0,False,True
2014,400000,14.0,3,1,2,19.0,1197.0,85.0,114.0,5.0,False,True
2012,120000,12.0,3,1,4,18.0,1199.0,79.0,108.0,5.0,False,True
2018,645000,2.0,3,1,0,20.0,1199.0,84.0,114.0,5.0,True,False
2006,81000,16.0,3,1,0,16.0,796.0,37.0,59.0,4.0,False,True
2017,1300000,6.0,1,1,0,25.0,1498.0,97.0,200.0,5.0,False,True
2017,1250000,6.0,1,1,0,25.0,1498.0,97.0,200.0,5.0,False,True
2013,535000,19.0,3,1,4,16.0,1373.0,93.0,130.0,7.0,False,True
2014,555000,16.0,1,1,2,19.0,1461.0,108.0,248.0,5.0,False,True
2014,725000,25.0,3,1,0,17.0,1497.0,117.0,145.0,5.0,False,True
1983,300000,2.0,1,1,4,18.0,1248.0,88.0,200.0,5.0,False,True
2016,229999,8.0,3,1,0,25.0,799.0,53.0,72.0,5.0,False,True
2013,800000,33.0,1,1,2,12.0,2494.0,100.0,200.0,8.0,False,True
2017,409999,9.0,3,1,0,20.0,998.0,67.0,90.0,5.0,False,True
2018,1210000,5.0,1,1,0,21.0,1396.0,88.0,219.0,5.0,False,True
2017,400000,5.0,3,1,0,23.0,1199.0,84.0,114.0,5.0,False,True
2018,520000,6.0,1,1,0,24.0,1186.0,73.0,190.0,5.0,False,True
2016,650000,10.0,3,1,0,21.0,1197.0,83.0,115.0,5.0,True,False
2011,325000,12.0,3,1,4,16.0,1298.0,88.0,11.0,5.0,False,True
2012,420000,25.0,3,1,0,17.0,1197.0,85.0,114.0,5.0,True,False
2014,400000,10.0,3,1,0,20.0,1197.0,81.0,113.0,5.0,False,True
2010,254999,16.0,3,1,1,17.0,1197.0,80.0,11.0,5.0,False,True
2003,65000,12.0,3,1,1,17.0,993.0,60.0,78.0,5.0,False,True
2017,351000,7.0,3,1,0,23.0,998.0,67.0,90.0,5.0,False,True
2007,404000,25.0,1,1,4,12.0,2494.0,102.0,20.0,8.0,False,True
2011,185000,39.0,1,1,4,21.0,1248.0,73.0,190.0,5.0,False,True
2011,250000,10.0,1,1,0,23.0,1461.0,63.0,160.0,5.0,False,True
2002,60000,21.0,3,1,1,17.0,993.0,60.0,78.0,5.0,False,True
2013,500000,10.0,3,1,2,17.0,1591.0,121.0,154.0,5.0,False,True
2007,85000,16.0,3,1,2,18.0,998.0,67.0,90.0,5.0,False,True
2005,85000,12.0,3,1,2,18.0,1248.0,88.0,200.0,5.0,False,True
2005,85000,16.0,3,1,1,19.0,796.0,46.0,62.0,5.0,False,True
2011,265000,19.0,1,1,1,19.0,1248.0,73.0,190.0,5.0,False,True
2010,130000,34.0,3,1,2,19.0,998.0,66.0,90.0,5.0,False,True
2013,480000,23.0,1,1,4,20.0,1248.0,88.0,200.0,7.0,False,True
2008,170000,25.0,1,1,4,17.0,1248.0,75.0,190.0,5.0,False,True
2011,275000,9.0,1,1,0,23.0,1461.0,63.0,160.0,5.0,False,True
2005,89000,19.0,3,1,2,18.0,998.0,67.0,90.0,5.0,False,True
2010,170000,19.0,1,1,2,20.0,1399.0,68.0,160.0,5.0,False,True
2019,1090000,3.0,3,0,0,17.0,1197.0,110.0,200.0,5.0,False,True
